"k__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Clostridiales" "f__Peptoniphilaceae" "g__Parvimonas" "s__micra" "Zotu1"
"k__Bacteria" "p__Actinobacteria" "c__Coriobacteriia" "o__Coriobacteriales" "f__Coriobacteriaceae" "g__Atopobium" "s__sp._oral_taxon_416" "Zotu10"
"k__Bacteria" "p__Bacteroidetes" "c__Bacteroidia" "o__Bacteroidales" "f__Prevotellaceae" "g__Prevotella" "s__sp._oral_taxon_526" "Zotu100"
"k__Bacteria" "p__Firmicutes" "c__Negativicutes" "o__Selenomonadales" "f__Veillonellaceae" "g__Veillonellaceae_[G-1]" "s__sp._oral_taxon_155" "Zotu101"
"k__Bacteria" "p__Firmicutes" "c__Bacilli" "o__Lactobacillales" "f__Streptococcaceae" "g__Streptococcus" "s__intermedius" "Zotu102"
"k__Bacteria" "p__Proteobacteria" "c__Epsilonproteobacteria" "o__Campylobacterales" "f__Campylobacteraceae" "g__Campylobacter" "s__curvus" "Zotu103"
"k__Bacteria" "p__Bacteroidetes" "c__Bacteroidia" "o__Bacteroidales" "f__Prevotellaceae" "g__Prevotella" NA "Zotu104"
"k__Bacteria" "p__Actinobacteria" "c__Actinobacteria" NA NA NA NA "Zotu105"
"k__Bacteria" "p__Firmicutes" "c__Negativicutes" "o__Selenomonadales" "f__Veillonellaceae" "g__Selenomonas" "s__sp._oral_taxon_134" "Zotu106"
"k__Bacteria" "p__Firmicutes" "c__Bacilli" "o__Lactobacillales" "f__Streptococcaceae" "g__Streptococcus" NA "Zotu107"
"k__Bacteria" "p__Bacteroidetes" "c__Bacteroidia" "o__Bacteroidales" "f__Prevotellaceae" "g__Prevotella" "s__sp._oral_taxon_526" "Zotu108"
"k__Bacteria" "p__Bacteroidetes" "c__Bacteroidia" "o__Bacteroidales" "f__Prevotellaceae" "g__Prevotella" "s__oris" "Zotu109"
"k__Bacteria" "p__Synergistetes" "c__Synergistia" "o__Synergistales" "f__Synergistaceae" "g__Fretibacterium" "s__sp._oral_taxon_360" "Zotu11"
"k__Bacteria" "p__Firmicutes" "c__Erysipelotrichia" "o__Erysipelotrichales" "f__Erysipelotrichaceae" "g__Solobacterium" "s__moorei" "Zotu110"
"k__Bacteria" "p__Actinobacteria" "c__Coriobacteriia" "o__Coriobacteriales" "f__Atopobiaceae" "g__Olsenella" NA "Zotu111"
"k__Bacteria" "p__Actinobacteria" "c__Actinobacteria" "o__Bifidobacteriales" "f__Bifidobacteriaceae" "g__Scardovia" "s__inopinata" "Zotu112"
"k__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Clostridiales" "f__Peptostreptococcaceae_[XI]" "g__Mogibacterium" "(s__diversum/s__neglectum/s__pumilum/s__vescum)" "Zotu113"
"k__Bacteria" "p__Firmicutes" "c__Bacilli" "o__Lactobacillales" "f__Lactobacillaceae" "g__Lactobacillus" "s__salivarius" "Zotu114"
"k__Bacteria" "p__Actinobacteria" "c__Actinobacteria" "o__Actinomycetales" "f__Actinomycetaceae" "g__Actinomyces" "(s__odontolyticus/s__sp._oral_taxon_180)" "Zotu115"
"k__Bacteria" "p__Spirochaetes" "c__Spirochaetia" "o__Spirochaetales" "f__Spirochaetaceae" "g__Treponema" "s__lecithinolyticum" "Zotu116"
"k__Bacteria" NA NA NA NA NA NA "Zotu117"
"k__Bacteria" "p__Firmicutes" "c__Bacilli" "o__Lactobacillales" "f__Streptococcaceae" "g__Streptococcus" NA "Zotu118"
"k__Bacteria" "p__Proteobacteria" "c__Epsilonproteobacteria" "o__Campylobacterales" "f__Campylobacteraceae" "g__Campylobacter" "s__gracilis" "Zotu119"
"k__Bacteria" "p__Fusobacteria" "c__Fusobacteriia" "o__Fusobacteriales" "f__Fusobacteriaceae" "g__Fusobacterium" NA "Zotu12"
"k__Bacteria" "p__Actinobacteria" "c__Actinobacteria" "o__Actinomycetales" "f__Actinomycetaceae" "g__Actinomyces" NA "Zotu120"
"k__Bacteria" "p__Bacteroidetes" "c__Bacteroidia" "o__Bacteroidales" "f__Prevotellaceae" "g__Prevotella" "s__multisaccharivorax" "Zotu121"
"k__Bacteria" "p__Actinobacteria" "c__Actinobacteria" "o__Actinomycetales" "f__Micrococcaceae" "g__Rothia" "s__aeria" "Zotu122"
"k__Bacteria" "p__Firmicutes" "c__Bacilli" "o__Lactobacillales" "f__Streptococcaceae" "g__Streptococcus" NA "Zotu123"
"k__Bacteria" "p__Spirochaetes" "c__Spirochaetia" "o__Spirochaetales" "f__Spirochaetaceae" "g__Treponema" "s__sp._oral_taxon_268" "Zotu124"
"k__Bacteria" "p__Firmicutes" "c__Negativicutes" "o__Selenomonadales" "f__Veillonellaceae" "g__Dialister" "s__pneumosintes" "Zotu125"
