"S1" "A11-1" "A11-1" "S"
"S11" "A11-10" "A11-10 17" "A"
"S12" "A11-10" "A11-10 16" "A"
"S13" "A11-11" "A11-11" "S"
"S14" "A11-12" "A11-12" "A"
"S15" "A11-13" "A11-13" "S"
"S16" "A11-14" "A11-14" "S"
"S17" "A11-15" "A11-15 17" "S"
"S18" "A11-15" "A11-15 25" "S"
"S19" "A11-16" "A11-16" "A"
"S20" "A11-17" "A11-17" "S"
"S21" "A11-18" "A11-18" "S"
"S22" "A11-19" "A11-19" "S"
"S2" "A11-2" "A11-2" "S"
"S23" "A11-20" "A11-20" "S"
"S24" "A11-21" "A11-21" "S"
"S25" "A11-22" "A11-22" "A"
"S26" "A11-23" "A11-23" "A"
"S27" "A11-24" "A11-24" "S"
"S28" "A11-26" "A11-26" "A"
"S29" "A11-27" "A11-27" "A"
"S3" "A11-3" "A11-3" "A"
"S4" "A11-4" "A11-4" "A"
"S5" "A11-5" "A11-5" "S"
"S6" "A11-6" "A11-6" "A"
"S7" "A11-7" "A11-7" "A"
"S8" "A11-8" "A11-8 36" "A"
"S9" "A11-8" "A11-8 46" "A"
"S10" "A11-9" "A11-9" "A"
